The binary number in column 1 represents the coefficients taken , 1 => +1 coefficient, 0 => -1 coefficient 
 Coefficients     Same sign hamming dist 1     Evaluated value(sorted)
********************************************************************************
For n = 2
10     1     0.31783724519578205 
11     1     3.1462643699419726 
********************************************************************************
For n = 3
011     1     0.9101963924421828 
101     1     1.9182307323040078 
110     1     2.5539052226955716 
111     3     5.382332347441762 
********************************************************************************
For n = 4
0110     2     0.10441547991239375 
1010     2     0.5312590104791701 
1100     2     1.5392933503409951 
0111     2     2.9328426046585845 
1011     2     3.3596861352253606 
1101     2     4.367720475087186 
1110     4     5.0033949654787495 
1111     4     7.83182209022494 
********************************************************************************
For n = 5
00111     2     0.28709129359399377 
01011     2     0.7139348241607699 
10011     2     1.1064579607235956 
01101     2     1.7219691640225951 
10101     2     2.114492300585421 
01110     2     2.357643654414159 
11001     2     2.541335831152197 
10110     2     2.7501667909769845 
11010     2     3.1770103215437606 
11100     2     4.185044661405586 
01111     5     5.1860707791603495 
10111     5     5.578593915723175 
11011     5     6.005437446289951 
11101     5     7.013471786151777 
11110     5     7.64914627654334 
11111     5     10.477573401289531 
********************************************************************************
For n = 6
011010     3     0.014732661375381095 
101001     3     0.41211086919139506 
100110     3     0.6209418290161826 
110001     3     0.8046340057542207 
011100     3     1.0227670012372063 
101010     3     1.0477853595829587 
110010     3     1.4403084961457844 
001111     2     2.02379311899197 
101100     3     2.055819699444784 
010111     2     2.4163162555547957 
110100     3     2.4483428360076096 
011011     3     2.843159786121572 
111000     3     2.8751863665743858 
100111     3     3.4493689537623733 
011101     3     3.851194125983397 
101011     4     3.8762124843291494 
110011     4     4.268735620891976 
011110     4     4.486868616374961 
101101     4     4.884246824190974 
110101     4     5.2767699607538 
101110     5     5.519921314582538 
111001     5     5.703613491320576 
110110     5     5.9124444511453635 
111010     6     6.33928798171214 
011111     6     7.315295741121151 
111100     6     7.347322321573966 
101111     6     8.34834843932873 
110111     6     8.740871575891555 
111011     6     9.167715106458331 
111101     6     10.175749446320156 
111110     6     10.81142393671172 
111111     6     13.639851061457911 
********************************************************************************
For n = 7
0100111     3     0.13274416340697348 
1000111     3     0.44143842378101406 
1100100     4     0.473465004233828 
0011101     3     0.5345693356279972 
0101011     3     0.5595876939737496 
1001011     3     0.8682819543477902 
1101000     4     0.9003085348006041 
0110011     3     0.9521108305365757 
0011110     3     1.1702438260195613 
1010011     3     1.2608050909106159 
1110000     4     1.2928316713634298 
0101101     3     1.5676220338355744 
1001101     3     1.8763162942096154 
0110101     3     1.9601451703984 
0101110     3     2.203296524227138 
1010101     3     2.268839430772441 
1100011     3     2.2938577891181935 
0111001     3     2.3869887009651762 
1001110     3     2.511990784601179 
0110110     3     2.5958196607899637 
1011001     3     2.6956829613392173 
1010110     3     2.9045139211640048 
0111010     3     3.02266319135674 
1100101     4     3.3018921289800187 
1011010     3     3.331357451730781 
1101001     4     3.728735659546795 
1100110     4     3.9375666193715824 
0011111     4     3.998670950765751 
0111100     3     4.030697531218566 
1110001     4     4.12125879610962 
1011100     3     4.339391791592606 
1101010     4     4.364410149938358 
1110010     4     4.756933286501184 
0101111     6     5.03172364897333 
1001111     6     5.340417909347369 
1101100     5     5.372444489800184 
0110111     6     5.424246785536155 
1010111     6     5.732941045910195 
1110100     5     5.76496762636301 
0111011     6     5.8510903161029315 
1011011     6     6.159784576476971 
1111000     5     6.191811156929786 
1100111     7     6.7659937441177735 
0111101     7     6.859124655964756 
1011101     7     7.167818916338797 
1101011     7     7.19283727468455 
0111110     7     7.4947991463563195 
1110011     7     7.585360411247375 
1011110     7     7.803493406730361 
1101101     7     8.200871614546374 
1110101     7     8.5933947511092 
1101110     7     8.836546104937938 
1111001     7     9.020238281675976 
1110110     7     9.229069241500763 
1111010     7     9.65591277206754 
0111111     7     10.323226271102511 
1011111     7     10.63192053147655 
1111100     7     10.663947111929366 
1101111     7     11.66497322968413 
1110111     7     12.057496366246955 
1111011     7     12.484339896813731 
1111101     7     13.492374236675555 
1111110     7     14.12804872706712 
1111111     7     16.95647585181331 
********************************************************************************
For n = 8
01101001     4     0.12318438408280574 
10100101     4     0.2741938237332082 
10011010     4     0.3036591464839704 
01100110     4     0.33201534390759324 
00011111     3     0.39311967530176206 
00111100     4     0.4251462557545769 
01110001     4     0.515707520645631 
11000101     4     0.5828880841072492 
10101001     4     0.7010373542999844 
01011100     4     0.7338405161286166 
01101010     4     0.758858874474369 
10100110     4     0.9098683141247719 
11001001     4     1.0097316146740254 
10110001     4     1.09356049086281 
01110010     4     1.1513820110371946 
11000110     4     1.218562574498813 
10011100     4     1.3116934863457956 
10101010     4     1.336711844691548 
11010001     4     1.402254751236851 
00101111     3     1.4261723735093406 
11001010     4     1.645406105065589 
10110010     4     1.7292349812543737 
01001111     3     1.7348666338833802 
01101100     4     1.766893214336195 
00110111     3     1.8186955100721662 
11010010     4     2.0379292416284147 
01010111     3     2.127389770446206 
01110100     4     2.1594163508990207 
00111011     3     2.2455390406389424 
10001111     3     2.3127196041005593 
10101100     4     2.3447461845533732 
11100001     4     2.435307449444428 
